Student ID,HSGA,SAAT,GAT,First Year CGPA
83,9.2,1168,70,2.88
84,6.8,1462,77,1.89
85,1.0,1207,76,4.54
86,6.6,1554,84,7.08
87,0.2,1194,65,2.64
88,7.7,1210,77,8.06
89,3.0,1585,77,4.33
90,7.3,1206,90,6.84
91,6.7,1496,88,4.9
92,6.6,1319,69,1.51
93,1.7,1171,82,6.76
94,1.2,1307,61,3.16
95,4.1,1121,71,9.24
96,3.6,1421,66,6.09
97,6.9,1266,60,9.78
98,9.2,1274,85,7.71
99,6.8,1577,70,9.68
100,2.0,1385,77,9.17
101,5.2,1376,67,9.2
102,9.9,1599,78,0.07
103,1.3,1366,66,7.82
104,5.7,1533,72,0.37
105,5.8,1155,90,3.62
106,8.5,1452,76,5.24
107,5.2,1468,88,5.06
108,8.3,1400,63,7.68
109,4.4,1276,87,9.83
110,5.5,1599,63,8.11
111,8.7,1102,73,7.62
112,7.1,1544,75,5.05
113,2.8,1345,73,3.01
114,5.1,1150,61,0.8
115,3.0,1407,68,3.83
116,6.5,1191,78,8.25
117,8.0,1538,74,3.51
118,8.1,1380,71,8.98
119,8.4,1482,84,1.82
120,0.9,1506,75,3.66
121,0.1,1439,73,3.72
122,4.5,1494,81,8.72
123,3.2,1192,60,7.66
124,8.5,1426,90,6.39
125,1.6,1101,61,0.75
126,4.8,1204,60,5.99
127,1.7,1324,71,3.85
128,9.7,1466,76,7.29
129,9.1,1162,65,5.68
130,1.6,1377,81,3.43
131,7.6,1565,82,3.03
132,2.3,1327,68,1.42
133,2.4,1479,69,1.45
134,3.2,1547,83,5.35
135,0.6,1297,82,0.37
136,7.7,1336,64,8.2
137,8.8,1525,78,0.5
138,7.7,1514,72,5.91
139,9.6,1545,70,2.76
140,9.5,1128,85,3.07
141,1.8,1458,67,8.96
142,0.9,1316,70,0.49
143,9.8,1521,66,0.43
144,3.4,1534,86,0.66
145,9.4,1445,66,7.18
146,1.9,1247,64,4.18
147,0.9,1351,87,8.99
148,1.5,1284,77,9.62
149,4.4,1370,84,3.26
150,7.4,1417,71,2.25
151,7.2,1173,67,1.65
152,2.4,1331,88,0.08
153,5.3,1372,66,8.96
154,2.4,1415,78,7.7
155,3.8,1556,86,1.01
156,9.9,1136,89,8.02
157,5.5,1341,67,3.57
158,4.7,1499,61,8.71
159,1.4,1236,65,3.3
160,0.6,1193,61,0.48
161,8.7,1466,63,6.95
162,2.1,1497,80,6.26
163,3.1,1568,85,2.42
164,2.9,1394,87,2.81
165,2.0,1312,77,3.46
166,4.9,1561,84,8.58
167,2.3,1519,60,0.32
168,5.5,1128,90,2.6
169,1.2,1307,89,6.16
170,4.3,1585,85,4.16
171,1.2,1447,74,5.21
172,6.9,1290,81,3.77
173,1.1,1406,63,7.01
174,5.4,1183,60,4.17
175,2.3,1171,81,2.56
176,1.3,1555,62,2.37
177,5.4,1159,73,4.63
178,7.0,1116,81,0.46
179,5.4,1532,84,1.68
180,1.4,1262,64,0.5
181,4.4,1581,62,8.54
182,1.8,1138,80,3.06
183,6.1,1472,71,9.5
184,0.7,1124,64,2.44
185,2.0,1321,69,1.71
186,8.8,1130,81,5.66
187,9.8,1464,63,6.42
188,9.0,1275,76,4.12
189,2.4,1441,69,2.63
190,2.3,1490,75,1.38
191,4.0,1272,78,3.38
192,3.9,1194,83,4.14
193,1.1,1435,64,8.52
194,9.1,1555,77,2.49
195,1.2,1392,79,0.98
196,0.8,1413,87,4.53
197,3.2,1305,69,8.24
198,9.9,1303,73,2.21
199,2.6,1304,87,7.58
200,2.8,1403,82,7.17
201,4.8,1237,78,6.76
202,9.9,1453,67,0.03
203,6.9,1290,61,6.8
204,2.6,1150,60,9.43
205,7.3,1480,82,5.04
206,8.3,1352,86,8.78
207,3.0,1574,87,2.01
208,1.4,1326,68,7.92
209,3.6,1487,70,7.44
210,9.4,1218,62,2.56
211,9.3,1223,66,6.05
212,9.7,1559,73,7.87
213,0.3,1450,86,6.73
214,9.0,1111,61,1.03
215,7.2,1476,81,0.37
216,6.3,1459,64,1.14
217,8.3,1390,83,1.27
218,7.2,1512,73,5.35
219,1.3,1112,79,4.63
220,1.8,1170,89,9.0
221,4.0,1105,63,8.86
222,6.3,1499,66,1.74
223,5.3,1126,85,2.28
224,7.4,1571,80,4.64
225,4.7,1145,84,7.79
226,1.3,1585,60,2.38
227,3.7,1564,78,2.57
228,4.0,1186,67,1.87
229,0.2,1177,71,8.45
230,3.3,1149,83,7.98
231,6.3,1259,83,1.59
232,6.9,1207,67,1.39
233,7.5,1251,79,6.63
234,9.2,1239,76,7.22
235,8.8,1345,85,4.38
236,5.4,1208,88,8.11
237,6.1,1359,71,5.75
238,1.9,1268,74,7.49
239,4.3,1595,78,2.81
240,5.4,1234,61,4.78
241,3.7,1587,70,5.32
242,9.2,1304,68,2.3
243,6.2,1258,73,4.52
244,9.6,1489,78,6.47
245,9.3,1266,79,7.08
246,6.8,1350,62,0.04
247,6.5,1241,74,6.9
248,5.0,1550,90,9.26
249,0.7,1476,83,3.17
250,3.9,1108,77,6.58
251,8.9,1388,80,8.9
252,3.4,1339,73,4.66
253,6.2,1595,60,2.14
254,1.4,1511,81,1.56
255,1.7,1306,72,3.82
256,2.7,1531,74,6.85
257,1.6,1402,85,5.09
258,3.9,1510,77,5.72
259,4.9,1272,88,5.11
260,6.6,1358,83,3.33
261,8.1,1152,80,2.4
262,9.2,1366,60,8.1
263,9.9,1346,81,5.44
264,9.5,1465,78,2.44
265,1.1,1101,83,2.63
266,2.9,1236,64,4.3
267,6.5,1593,64,8.83
268,4.3,1136,89,4.46
269,4.8,1462,88,3.7
270,8.4,1354,61,5.7
271,3.6,1246,87,4.47
272,4.4,1260,64,6.06
273,5.8,1543,90,2.48
274,9.8,1158,76,6.65
275,6.6,1270,62,9.02
276,9.8,1299,84,4.39
277,0.8,1474,68,6.36
278,1.9,1277,69,2.64
279,9.1,1299,71,7.15
280,1.6,1271,68,7.3
281,7.6,1183,66,7.91
282,2.2,1322,61,3.16
283,0.8,1397,78,8.72
284,1.0,1595,87,0.17
285,0.2,1285,60,8.35
286,0.6,1427,72,1.15
287,1.7,1122,75,7.65
288,6.6,1568,86,6.07
289,8.2,1237,71,2.43
290,9.1,1536,68,0.29
291,6.5,1223,88,9.94
292,4.9,1154,73,1.91
293,3.2,1571,82,2.53
294,7.2,1480,61,9.85
295,8.7,1526,77,9.06
296,7.1,1535,64,2.38
297,6.1,1498,60,9.8
298,0.3,1384,60,2.53
299,7.9,1466,68,3.59
300,5.9,1389,62,5.62
301,0.1,1330,66,5.22
302,0.3,1337,74,7.53
303,8.9,1600,62,5.7
304,8.9,1136,69,8.06
305,5.1,1417,87,5.26
306,8.6,1348,76,1.95
307,5.5,1534,68,0.65
308,7.3,1228,85,7.51
309,4.0,1152,77,8.7
310,8.2,1124,88,9.77
311,8.0,1296,84,9.93
312,2.9,1511,72,5.59
313,9.7,1525,74,8.98
314,4.2,1464,67,0.99
315,9.9,1463,72,5.13
316,9.7,1184,63,2.06
317,8.7,1437,79,4.65
318,6.4,1284,72,7.98
319,7.1,1417,89,6.91
320,0.6,1526,72,1.46
321,9.6,1324,71,5.17
322,0.9,1326,86,2.16
323,9.0,1458,83,0.86
324,8.4,1110,70,0.75
325,2.6,1411,62,8.79
326,1.3,1554,87,9.76
327,9.1,1143,87,4.69
328,5.2,1409,67,1.71
329,3.2,1571,80,5.81
330,9.2,1545,60,6.74
331,1.3,1230,75,4.23
332,1.6,1577,86,0.98
333,1.9,1438,79,9.51
334,5.6,1120,87,2.61
335,8.1,1263,86,0.09
336,2.9,1543,66,9.2
337,3.3,1217,90,2.67
338,7.8,1519,81,8.42
339,1.1,1514,88,0.34
340,7.9,1247,90,5.12
341,8.6,1397,84,2.19
342,7.3,1514,80,7.62
343,6.0,1146,85,5.25
344,2.1,1302,87,5.04
345,9.0,1555,80,0.03
346,1.2,1208,60,3.72
347,1.8,1328,66,1.84
348,6.4,1466,64,4.29
349,6.8,1481,76,7.05
350,8.7,1288,64,1.3
351,8.9,1308,87,4.99
352,6.9,1542,76,4.85
353,3.6,1420,66,2.15
354,4.8,1339,78,5.99
355,4.7,1253,90,4.15
356,5.3,1202,83,8.63
357,6.7,1240,60,1.96
358,9.1,1538,89,5.78
359,0.1,1126,84,5.37
360,3.2,1184,62,2.17
361,5.0,1306,72,1.7
362,5.4,1491,70,9.33
363,1.1,1370,66,0.59
364,5.9,1408,82,5.15
365,8.0,1293,83,6.73
366,4.8,1510,73,1.42
367,0.4,1106,90,7.81
368,1.6,1195,85,9.07
369,1.4,1180,87,5.21
370,8.9,1211,87,4.57
371,3.6,1576,88,1.4
372,1.6,1550,77,3.15
373,3.4,1532,61,7.12
374,4.0,1567,66,7.94
375,3.1,1172,74,7.43
376,8.0,1147,65,9.88
377,5.9,1111,62,5.07
378,3.0,1247,74,3.62
379,5.2,1239,83,2.66
380,2.5,1343,83,2.96
381,1.5,1165,75,2.71
382,1.3,1348,64,5.16
383,8.2,1137,79,4.04
384,10.0,1111,79,9.58
385,1.2,1539,70,6.74
386,0.3,1286,62,5.57
387,2.4,1318,76,7.53
388,7.1,1200,71,7.53
389,8.0,1486,75,1.74
390,9.8,1227,83,3.29
391,3.6,1165,72,0.91
392,6.1,1120,65,6.98
393,0.1,1455,85,0.0
394,0.7,1385,76,1.57
395,6.0,1558,62,6.12
396,5.9,1185,62,8.38
397,9.2,1233,90,1.95
398,5.4,1315,83,2.47
399,6.6,1163,72,1.7
400,0.1,1309,64,8.59
401,0.2,1425,78,1.85
402,5.3,1482,88,3.69
403,2.7,1142,90,4.35
404,6.2,1314,64,1.98
405,2.4,1263,67,3.93
406,2.0,1264,89,2.24
407,5.6,1356,90,3.33
408,3.4,1272,80,6.27
409,0.5,1422,81,4.35
410,0.8,1235,71,0.22
411,4.2,1248,78,3.5
412,5.1,1394,78,4.24
413,8.2,1524,82,0.11
414,1.0,1238,88,7.28
415,5.7,1300,86,2.74
416,2.5,1540,67,1.7
417,5.3,1237,89,8.99
418,4.9,1302,63,4.76
419,3.4,1162,87,5.44
420,4.8,1418,89,2.22
421,1.5,1582,70,8.47
422,1.8,1209,64,9.4
423,9.9,1521,69,7.28
424,2.3,1471,76,5.72
425,2.8,1122,83,3.98
426,5.9,1398,66,5.96
427,0.5,1331,63,9.47
428,2.2,1343,66,0.36
429,10.0,1149,82,0.69
430,0.1,1165,84,1.96
431,0.4,1180,68,5.92
432,8.6,1373,61,1.1
433,4.1,1400,68,4.92
434,5.6,1290,78,2.87
435,9.2,1318,71,8.88
436,7.5,1566,73,5.47
437,3.3,1156,67,2.23
438,7.6,1152,71,3.52
439,1.7,1160,81,5.97
440,1.0,1576,74,0.96
441,3.5,1271,76,3.34
442,9.0,1229,90,6.3
443,2.8,1517,73,1.51
444,0.4,1104,73,8.93
445,7.7,1378,60,8.31
446,9.4,1109,73,6.46
447,6.1,1118,70,2.59
448,2.5,1184,90,2.01
449,9.4,1366,63,9.84
450,4.8,1126,78,6.27
451,2.2,1539,77,8.24
452,1.8,1453,78,1.49
453,6.7,1396,60,8.1
454,2.1,1419,72,9.03
455,1.6,1545,71,0.04
456,7.0,1475,80,5.3
457,5.1,1187,69,3.31
458,8.3,1330,65,1.68
459,0.2,1474,64,9.82
460,0.4,1544,86,9.6
461,6.3,1343,80,2.07
462,7.9,1272,72,4.02
463,0.3,1180,75,9.87
464,4.6,1396,64,1.79
465,8.0,1309,72,2.36
466,0.7,1463,79,3.02
467,7.6,1234,83,4.67
468,1.0,1469,81,5.09
469,0.3,1330,72,5.11
470,8.0,1537,82,0.99
471,10.0,1504,66,8.1
472,5.2,1202,63,6.54
473,1.1,1309,78,0.14
474,2.2,1183,88,7.98
475,9.7,1496,87,6.3
476,3.9,1529,69,0.48
477,3.3,1501,66,3.65
478,4.3,1251,84,5.19
479,5.7,1279,89,7.38
480,4.7,1383,63,9.97
481,8.8,1518,89,1.04
482,7.4,1153,66,0.4
483,2.3,1356,79,2.32
484,9.2,1219,87,4.68
485,2.4,1334,81,1.19
486,9.7,1372,88,3.18
487,0.1,1305,88,1.94
488,1.7,1448,70,4.14
489,7.7,1422,77,5.49
490,3.9,1134,81,6.47
491,6.9,1111,88,0.87
492,5.5,1241,82,7.97
493,8.1,1570,60,6.1
494,7.8,1208,77,5.93
495,9.9,1576,82,7.38
496,3.0,1424,82,6.24
497,1.2,1556,64,6.65
498,1.3,1211,74,5.66
499,9.0,1298,67,1.73
500,0.3,1575,90,2.11
501,1.1,1145,62,3.32
502,0.7,1234,87,8.19
503,4.6,1317,72,8.07
504,4.7,1416,70,8.28
505,0.3,1516,60,1.71
506,0.1,1464,79,9.65
507,0.3,1178,72,7.57
508,2.0,1319,83,5.7
509,3.4,1357,80,6.66
510,2.2,1219,73,4.26
511,10.0,1315,76,2.26
512,0.6,1115,90,4.78
513,5.3,1397,90,3.7
514,3.1,1561,88,5.52
515,3.4,1310,60,8.27
516,3.3,1536,62,5.9
517,1.7,1174,76,5.7
518,7.8,1307,63,5.63
519,3.4,1349,71,9.85
520,8.7,1159,76,5.73
521,2.6,1544,68,6.17
522,3.8,1600,63,8.93
523,8.2,1371,83,1.86
524,1.4,1325,73,0.08
525,4.5,1253,71,8.69
526,4.8,1471,78,7.32
527,8.4,1559,80,4.66
528,4.0,1217,88,3.18
529,7.1,1181,83,6.1
530,5.0,1462,85,8.74
531,6.3,1411,82,4.52
532,9.5,1279,66,5.02
533,0.3,1531,81,9.37
534,0.7,1251,66,2.26
535,5.2,1245,75,1.12
536,1.1,1487,68,7.93
537,4.5,1369,71,4.73
538,2.1,1570,76,8.06
539,8.5,1408,89,9.57
540,5.5,1381,60,3.53
541,1.1,1343,71,1.81
542,7.3,1238,75,4.57
543,2.3,1388,72,0.34
544,3.1,1474,79,2.69
545,7.4,1402,78,4.55
546,5.2,1444,86,5.64
547,2.9,1176,81,8.91
548,5.2,1120,76,1.2
549,1.1,1512,62,9.02
550,5.6,1119,65,2.72
551,0.2,1285,88,8.73
552,8.1,1287,62,6.67
553,4.2,1495,72,1.73
554,0.5,1173,77,8.47
555,6.0,1483,89,2.32
556,8.7,1445,86,7.04
557,1.4,1574,74,4.42
558,9.5,1245,79,9.36
559,2.0,1407,86,1.71
560,4.8,1533,89,0.61
561,1.1,1375,66,9.98
562,3.0,1235,63,2.12
563,3.3,1114,86,6.37
564,0.2,1407,82,0.57
565,6.7,1342,73,8.76
566,0.6,1167,88,8.45
567,7.1,1348,78,0.4
568,7.6,1390,72,7.31
569,5.6,1219,61,4.45
570,7.1,1467,75,1.42
571,3.5,1138,66,5.77
572,6.6,1164,65,4.16
573,7.4,1576,84,3.49
574,1.5,1505,75,8.04
575,5.3,1461,60,7.3
576,2.8,1484,63,7.7
577,4.2,1281,62,9.37
578,2.9,1368,85,0.47
579,4.0,1493,71,0.49
580,6.1,1364,89,2.07
581,0.2,1206,81,0.01
582,3.5,1188,66,0.57
583,6.5,1509,60,9.98
584,1.9,1555,67,2.58
585,9.1,1135,68,0.74
586,3.7,1192,80,7.8
587,5.2,1178,83,2.86
588,2.1,1191,88,1.8
589,8.1,1341,62,9.5
590,4.5,1118,89,5.57
591,0.2,1183,88,0.11
592,3.8,1262,85,1.59
593,3.3,1506,79,0.21
594,3.9,1441,78,5.37
595,4.4,1583,89,5.86
596,2.3,1267,85,7.36
597,3.5,1362,67,2.94
598,2.7,1314,66,9.34
599,3.0,1512,83,6.55
600,1.1,1583,69,8.8
